vector_id	status	accepted_resolver_class	provenance	temperature_k	tint	weight_low	input_as_shot_neutral	normalized_camera_neutral	input_analog_balance	raw_illuminant_tokens_json	input_color_matrices	input_calibration_matrices	input_forward_matrices	white_xy	iterations	interpolated_color_matrix	interpolated_calibration_matrix	interpolated_forward_matrix	reference_neutral	condition_1_t50	neutral_xy_error	neutral_xyz_d50	neutral_xy_d50	t50	camera_to_linear_bt2020	camera_to_normalized_ncl	t50_f32_bits	bt2020_f32_bits	ncl_f32_bits	expected_failure	failure_detail
dual_above_d65_clamp	PASS	FORWARD_MATRIX_T50	synthetic	7999.999999999998	-1.5573697240635113e-13	0.0	0.42972343047795114,0.98883645899351524,0.78773852402913291	0.43457482434996791,1,0.7966317552964528	ABSENT	"[""standarda"",""d65""]"	1.1189999580383301,-0.49309998750686646,-0.063000001013278961,-0.38650000095367432,1.4026000499725342,0.061700001358985901,-0.032499998807907104,0.20819999277591705,0.7150999903678894|0.70020002126693726,-0.08489999920129776,-0.12460000067949295,-0.59890002012252808,1.5709999799728394,-0.0015999999595806003,-0.21340000629425049,0.44519999623298645,0.41569998860359192	1.0014649629592896,0,0,0,1,0,0,0,1.00282883644104|1,0,0,0,1,0,0,0,1.0045475959777832	0.61159998178482056,0.1737000048160553,0.17900000512599945,0.13629999756813049,0.83649998903274536,0.027200000360608101,-0.041700001806020737,-0.58480000495910645,1.4515999555587769|0.71439999341964722,-0.00089999998454004526,0.25069999694824219,0.27549999952316284,0.62230002880096436,0.10220000147819519,0.05130000039935112,-0.50599998235702515,1.2798999547958374	0.29518291573135963,0.30476854941454834	3	0.70020002126693726,-0.08489999920129776,-0.12460000067949295,-0.59890002012252808,1.5709999799728394,-0.0015999999595806003,-0.21340000629425049,0.44519999623298645,0.41569998860359192	1,0,0,0,1,0,0,0,1.0045475959777832	0.71447088961490812,-0.00090008929945497597,0.25072487611411459,0.27549999131262326,0.62230001025497883,0.1021999984323979,0.051294071536032777,-0.50594150273302663,1.2797520337074539	0.43457482434996791,1,0.79302539619443912	5.291635785767853	0.0	0.96429567642956771,1,0.82510460251046014	0.34570000000000001,0.35849999999999999	1.6440687531395901,-0.00090008929945497597,0.31473120980572966,0.63395294866588969,0.62230001025497883,0.12829013876601733,0.11803277286657796,-0.50594150273302663,1.6064537036076552	2.4306584618417557,-0.12708908867033872,0.088856757328676927,-0.076260354693646087,1.0195025846378096,0.017119886970828682,0.15684652092170198,-0.67341241793984274,2.0150475523826237	0.59613045613419413,0.61790309240690433,0.15444227337275485,-0.23348779377723622,-0.68635883403143771,0.98894720899854838,1.2440851795114347,-0.50521645264969683,-0.044476818150059647	0x3fd270d8,0xba6bf3f8,0x3ea12473,0x3f224abe,0x3f1f4f0e,0x3e035e7d,0x3df1bb2b,0xbf018562,0x3fcda046	0x401b8fe9,0xbe0223a4,0x3db5fa88,0xbd9c2e64,0x3f827f10,0x3c8c3f01,0x3e209c60,0xbf2c64c2,0x4000f68a	0x3f189c01,0x3f1e2ee6,0x3e1e261e,0xbe6f176d,0xbf2fb536,0x3f7d2ba5,0x3f9f3e2f,0xbf0155de,0xbd362d53		
explicit_analog_balance	PASS	FORWARD_MATRIX_T50	synthetic	6503.70718479529	9.769990121404899	0.0	0.48940393111376951,0.90002647240093847,0.73316774646189897	0.5437661514646569,1,0.81460686873584731	1.1000000000000001,0.90000000000000002,1.05	"[""standarda"",""d65""]"	1.1189999580383301,-0.49309998750686646,-0.063000001013278961,-0.38650000095367432,1.4026000499725342,0.061700001358985901,-0.032499998807907104,0.20819999277591705,0.7150999903678894|0.70020002126693726,-0.08489999920129776,-0.12460000067949295,-0.59890002012252808,1.5709999799728394,-0.0015999999595806003,-0.21340000629425049,0.44519999623298645,0.41569998860359192	1.0014649629592896,0,0,0,1,0,0,0,1.00282883644104|1,0,0,0,1,0,0,0,1.0045475959777832	0.61159998178482056,0.1737000048160553,0.17900000512599945,0.13629999756813049,0.83649998903274536,0.027200000360608101,-0.041700001806020737,-0.58480000495910645,1.4515999555587769|0.71439999341964722,-0.00089999998454004526,0.25069999694824219,0.27549999952316284,0.62230002880096436,0.10220000147819519,0.05130000039935112,-0.50599998235702515,1.2798999547958374	0.31269999999999998,0.32900000000000001	7	0.70020002126693726,-0.08489999920129776,-0.12460000067949295,-0.59890002012252808,1.5709999799728394,-0.0015999999595806003,-0.21340000629425049,0.44519999623298645,0.41569998860359192	1,0,0,0,1,0,0,0,1.0045475959777832	0.71447088961490812,-0.00090008929945497597,0.25072487611411459,0.27549999131262326,0.62230001025497883,0.1021999984323979,0.051294071536032777,-0.50594150273302663,1.2797520337074539	0.49433286496786988,1.1111111111111112,0.77230393917529194	4.498298194279098	5.551115123125783e-17	0.96429567642956782,1,0.82510460251046014	0.34570000000000006,0.35849999999999999	1.3139304233822775,-0.00090008929945497587,0.30778635159706363,0.50665160119024055,0.62230001025497883,0.12545928883584984,0.094331122667106165,-0.50594150273302663,1.5710056995878823	1.9425684575335336,-0.12708908867033872,0.0868960443097474,-0.060946842970257091,1.0195025846378096,0.016742119581206943,0.12535084998552454,-0.67341241793984274,1.9705835173615818	0.47642407966436656,0.61790309240690433,0.15103435049577074,-0.18660212059043374,-0.68635883403143771,0.96712510198033963,0.9942658197946338,-0.50521645264969683,-0.043495392775005678	0x3fa82edf,0xba6bf3f8,0x3e9d962c,0x3f01b3eb,0x3f1f4f0e,0x3e007866,0x3dc130ad,0xbf018562,0x3fc916b7	0x3ff8a615,0xbe0223a4,0x3db1f68e,0xbd79a366,0x3f827f10,0x3c8926c5,0x3e005bf9,0xbf2c64c2,0x3ffc3c15	0x3ef3eddb,0x3f1e2ee6,0x3e1aa8c0,0xbe3f14a0,0xbf2fb536,0x3f779583,0x3f7e8834,0xbf0155de,0xbd32283a		
colormatrix_only_spec_reference	PASS	COLORMATRIX_ADAPTED_T50	synthetic	6503.70718479529	9.769990121404899	1.0	0.44491266464888135,1.0000294137788204,0.69825499663037993	0.44489957847108291,1,0.69823445891644065	ABSENT	"[""d65""]"	0.70020002126693726,-0.08489999920129776,-0.12460000067949295,-0.59890002012252808,1.5709999799728394,-0.0015999999595806003,-0.21340000629425049,0.44519999623298645,0.41569998860359192	1,0,0,0,1,0,0,0,1.0045475959777832	NONE	0.31269999999999998,0.32900000000000001	2	0.70020002126693726,-0.08489999920129776,-0.12460000067949295,-0.59890002012252808,1.5709999799728394,-0.0015999999595806003,-0.21340000629425049,0.44519999623298645,0.41569998860359192	1,0,0,0,1,0,0,0,1.0045475959777832	NONE	0.44489957847108291,1,0.69507354525776299	5.027139426686871	5.551115123125783e-17	0.96426731368407947,0.99997058708632469,0.82508033378001333	0.34570000000000006,0.35849999999999999	1.6058291355841177,-0.00079446245756602772,0.35894686580296881,0.61934936492202652,0.62227180482213951,0.14629829504915234,0.11518258248954566,-0.50598331816994635,1.8329358472786419	2.3740924375027559,-0.12689413100713448,0.10115798854543556,-0.074254609768083207,1.0193834665282824,0.019510588412577926,0.15305805958721952,-0.67345992732590909,2.2991346641807495	0.58240580084273563,0.61787072840017487,0.17614106812053221,-0.22820651709127046,-0.68636688408955238,1.128411606282671,1.2150323048013159,-0.50506229445768969,-0.050849775922349565	0x3fcd8bcf,0xba504379,0x3eb7c7e2,0x3f1e8dae,0x3f1f4d34,0x3e15cf38,0x3debe4d9,0xbf01881f,0x3fea9da4	0x4017f121,0xbe01f089,0x3dcf2beb,0xbd9812cd,0x3f827b28,0x3c9fd4ab,0x3e1cbb41,0xbf2c67df,0x40132506	0x3f15188c,0x3f1e2cc7,0x3e345e53,0xbe69aef8,0xbf2fb5bd,0x3f906fcb,0x3f9b862e,0xbf014bc3,0xbd5047db		
invalid_neutral_zero	PASS	REJECTED	synthetic				0,1,0.69999999999999996	NONE	ABSENT	"[""standarda"",""d65""]"	1.1189999580383301,-0.49309998750686646,-0.063000001013278961,-0.38650000095367432,1.4026000499725342,0.061700001358985901,-0.032499998807907104,0.20819999277591705,0.7150999903678894|0.70020002126693726,-0.08489999920129776,-0.12460000067949295,-0.59890002012252808,1.5709999799728394,-0.0015999999595806003,-0.21340000629425049,0.44519999623298645,0.41569998860359192	1.0014649629592896,0,0,0,1,0,0,0,1.00282883644104|1,0,0,0,1,0,0,0,1.0045475959777832	0.61159998178482056,0.1737000048160553,0.17900000512599945,0.13629999756813049,0.83649998903274536,0.027200000360608101,-0.041700001806020737,-0.58480000495910645,1.4515999555587769|0.71439999341964722,-0.00089999998454004526,0.25069999694824219,0.27549999952316284,0.62230002880096436,0.10220000147819519,0.05130000039935112,-0.50599998235702515,1.2798999547958374	NONE	0	NONE	NONE	NONE	NONE			NONE	NONE	NONE	NONE	NONE				INVALID_AS_SHOT_NEUTRAL	(0.0, 1.0, 0.7)
singular_color_matrix	PASS	REJECTED	synthetic				0.5,1,0.69999999999999996	NONE	ABSENT	"[""d65""]"	1,0,0,0,1,0,0,0,0	1,0,0,0,1,0,0,0,1	0.71439999341964722,-0.00089999998454004526,0.25069999694824219,0.27549999952316284,0.62230002880096436,0.10220000147819519,0.05130000039935112,-0.50599998235702515,1.2798999547958374	NONE	0	NONE	NONE	NONE	NONE			NONE	NONE	NONE	NONE	NONE				SINGULAR_MATRIX	ColorMatrix1 relative determinant 0
ill_conditioned_color_matrix	PASS	REJECTED	synthetic				0.5,1,0.69999999999999996	NONE	ABSENT	"[""d65""]"	1,0,0,0,1,0,0,0,1.0000000000000001e-05	1,0,0,0,1,0,0,0,1	0.71439999341964722,-0.00089999998454004526,0.25069999694824219,0.27549999952316284,0.62230002880096436,0.10220000147819519,0.05130000039935112,-0.50599998235702515,1.2798999547958374	NONE	0	NONE	NONE	NONE	NONE			NONE	NONE	NONE	NONE	NONE				ILL_CONDITIONED_MATRIX	ColorMatrix1 cond1 99999.999999999985
interpolated_singular_color_matrix	PASS	REJECTED	synthetic				0.5,1,0.69999999999999996	NONE	ABSENT	"[""standarda"",""d65""]"	1,0,0,0,1,0,0,0,1|-0.30565884114370112,0,0,0,1,0,0,0,1	1,0,0,0,1,0,0,0,1|1,0,0,0,1,0,0,0,1	1,0,0,0,1,0,0,0,1|1,0,0,0,1,0,0,0,1	NONE	0	NONE	NONE	NONE	NONE			NONE	NONE	NONE	NONE	NONE				SINGULAR_MATRIX	interpolated ColorMatrix relative determinant 0
interpolated_ill_conditioned_color_matrix	PASS	REJECTED	synthetic				0.5,1,0.69999999999999996	NONE	ABSENT	"[""standarda"",""d65""]"	1,0,0,0,1,0,0,0,1|-0.30435448665704407,0,0,0,1,0,0,0,1	1,0,0,0,1,0,0,0,1|1,0,0,0,1,0,0,0,1	1,0,0,0,1,0,0,0,1|1,0,0,0,1,0,0,0,1	NONE	0	NONE	NONE	NONE	NONE			NONE	NONE	NONE	NONE	NONE				ILL_CONDITIONED_MATRIX	interpolated ColorMatrix cond1 1001.0000000000061
white_nonconvergence	PASS	REJECTED	synthetic				1.2313656209513102,0.99038302034960801,0.47876607973799523	NONE	ABSENT	"[""standarda"",""d65""]"	1.6054646393442213,0,0,0,0.48280769868814927,0,0,0,1.6525035041053184|0.83537877481460265,0,0,0,1.1853863386720682,0,0,0,0.72526776529984283	1,0,0,0,1,0,0,0,1|1,0,0,0,1,0,0,0,1	1,0,0,0,1,0,0,0,1|1,0,0,0,1,0,0,0,1	NONE	64	NONE	NONE	NONE	NONE			NONE	NONE	NONE	NONE	NONE				WHITE_SOLVE_NONCONVERGENT	64 iterations
unknown_illuminant	PASS	REJECTED	synthetic				0.5,1,0.69999999999999996	NONE	ABSENT	"[""moonlight""]"	0.70020002126693726,-0.08489999920129776,-0.12460000067949295,-0.59890002012252808,1.5709999799728394,-0.0015999999595806003,-0.21340000629425049,0.44519999623298645,0.41569998860359192	1,0,0,0,1,0,0,0,1.0045475959777832	0.71439999341964722,-0.00089999998454004526,0.25069999694824219,0.27549999952316284,0.62230002880096436,0.10220000147819519,0.05130000039935112,-0.50599998235702515,1.2798999547958374	NONE	0	NONE	NONE	NONE	NONE			NONE	NONE	NONE	NONE	NONE				UNKNOWN_ILLUMINANT	'moonlight'
illuminant_alias_rejected	PASS	REJECTED	synthetic				0.5,1,0.69999999999999996	NONE	ABSENT	"[""standard-a""]"	0.70020002126693726,-0.08489999920129776,-0.12460000067949295,-0.59890002012252808,1.5709999799728394,-0.0015999999595806003,-0.21340000629425049,0.44519999623298645,0.41569998860359192	1,0,0,0,1,0,0,0,1.0045475959777832	0.71439999341964722,-0.00089999998454004526,0.25069999694824219,0.27549999952316284,0.62230002880096436,0.10220000147819519,0.05130000039935112,-0.50599998235702515,1.2798999547958374	NONE	0	NONE	NONE	NONE	NONE			NONE	NONE	NONE	NONE	NONE				UNKNOWN_ILLUMINANT	'standard-a'
duplicate_illuminants	PASS	REJECTED	synthetic				0.5,1,0.69999999999999996	NONE	ABSENT	"[""d65"",21]"	1.1189999580383301,-0.49309998750686646,-0.063000001013278961,-0.38650000095367432,1.4026000499725342,0.061700001358985901,-0.032499998807907104,0.20819999277591705,0.7150999903678894|0.70020002126693726,-0.08489999920129776,-0.12460000067949295,-0.59890002012252808,1.5709999799728394,-0.0015999999595806003,-0.21340000629425049,0.44519999623298645,0.41569998860359192	1.0014649629592896,0,0,0,1,0,0,0,1.00282883644104|1,0,0,0,1,0,0,0,1.0045475959777832	0.61159998178482056,0.1737000048160553,0.17900000512599945,0.13629999756813049,0.83649998903274536,0.027200000360608101,-0.041700001806020737,-0.58480000495910645,1.4515999555587769|0.71439999341964722,-0.00089999998454004526,0.25069999694824219,0.27549999952316284,0.62230002880096436,0.10220000147819519,0.05130000039935112,-0.50599998235702515,1.2798999547958374	NONE	0	NONE	NONE	NONE	NONE			NONE	NONE	NONE	NONE	NONE				DUPLICATE_ILLUMINANTS	['D65', 'D65']
incomplete_forward_set	PASS	REJECTED	synthetic				0.5,1,0.69999999999999996	NONE	ABSENT	"[""standarda"",""d65""]"	1.1189999580383301,-0.49309998750686646,-0.063000001013278961,-0.38650000095367432,1.4026000499725342,0.061700001358985901,-0.032499998807907104,0.20819999277591705,0.7150999903678894|0.70020002126693726,-0.08489999920129776,-0.12460000067949295,-0.59890002012252808,1.5709999799728394,-0.0015999999595806003,-0.21340000629425049,0.44519999623298645,0.41569998860359192	1.0014649629592896,0,0,0,1,0,0,0,1.00282883644104|1,0,0,0,1,0,0,0,1.0045475959777832	0.61159998178482056,0.1737000048160553,0.17900000512599945,0.13629999756813049,0.83649998903274536,0.027200000360608101,-0.041700001806020737,-0.58480000495910645,1.4515999555587769|NONE	NONE	0	NONE	NONE	NONE	NONE			NONE	NONE	NONE	NONE	NONE				INCOMPLETE_FORWARD_MATRIX_SET	[True, False]
